country,cases_total,cases_total_per_100000_pop,cases_7_days ,cases_7_days_per_100000_pop,cases_24_hours,deaths_total,deaths_total_per_100000_pop,deaths_7_days,deaths_7_days_per_100000_pop,deaths_24_hours,fully_vacc_per_100_pop
Saint Lucia,12927,7039.814,68,37.032,6,279,151.938,7,3.812,0,
South Sudan,12717,113.608,79,0.706,7,133,1.188,0,0,0,
New Caledonia,12033,4214.741,234,81.962,41,276,96.673,3,1.051,0,
Central African Republic,11708,242.413,42,0.87,0,101,2.091,0,0,0,
Isle of Man,10894,12811.647,439,516.276,97,66,77.618,0,0,0,
New Zealand,10598,219.774,1308,27.124,177,42,0.871,4,0.083,1,
Gambia,9989,413.338,3,0.124,0,342,14.152,1,0.041,0,
Yemen,9977,33.451,27,0.091,5,1943,6.514,9,0.03,1,
United States Virgin Islands,7490,7172.612,63,60.33,10,85,81.398,1,0.958,0,59.394
Eritrea,7269,204.967,157,4.427,19,58,1.635,5,0.141,1,
Gibraltar,7092,21050.132,312,926.063,43,98,290.879,0,0,0,
Niger,6921,28.591,148,0.611,19,251,1.037,14,0.058,3,
Cayman Islands,6459,9828.058,1303,1982.654,176,4,6.086,0,0,0,84.224
Guinea-Bissau,6438,327.134,4,0.203,0,146,7.419,0,0,0,
Sierra Leone,6401,80.243,1,0.013,1,121,1.517,0,0,0,
San Marino,5930,17473.039,170,500.913,22,93,274.029,0,0,0,
Grenada,5880,5225.598,15,13.331,2,200,177.741,0,0,0,
Liberia,5819,115.053,1,0.02,0,287,5.675,0,0,0,
Dominica,5776,8023.225,335,465.336,134,37,51.395,2,2.778,2,
Bermuda,5724,9191.785,10,16.058,0,106,170.218,0,0,0,
Saint Vincent and the Grenadines,5446,4908.96,78,70.308,0,74,66.703,1,0.901,0,
Chad,5107,31.091,0,0,0,175,1.065,0,0,0,
Sint Maarten,4570,10657.152,22,51.304,5,75,174.899,0,0,0,
Comoros,4482,515.409,45,5.175,16,150,17.249,1,0.115,0,
Liechtenstein,4477,11554.443,281,725.217,0,58,149.689,0,0,0,
Antigua and Barbuda,4139,4226.531,10,10.211,1,117,119.474,9,9.19,0,
Saint Martin,4013,10380.506,20,51.734,0,38,98.295,0,0,0,
Sao Tome and Principe,3731,1702.417,0,0,0,56,25.552,0,0,0,
Monaco,3669,9349.2,133,338.905,27,36,91.734,0,0,0,
Guernsey,3598,5581.063,648,1005.15,155,23,35.677,0,0,0,
Faroe Islands,3376,6908.83,286,585.286,39,13,26.604,2,4.093,0,
Turks and Caicos Islands,3092,7985.95,32,82.649,4,24,61.987,1,2.583,1,
Saint Kitts and Nevis,2776,5218.83,16,30.08,2,28,52.639,0,0,0,
British Virgin Islands,2773,9170.883,8,26.458,0,38,125.674,0,0,0,
Bonaire,2760,13196.271,148,707.626,37,22,105.188,1,4.781,1,
Bhutan,2634,341.365,2,0.259,1,3,0.389,0,0,0,
Saint Barthélemy,1666,16853.819,5,50.582,0,4,40.465,0,0,0,
Anguilla,1334,8892.148,159,1059.859,0,3,19.997,0,0,0,
Greenland,1311,2309.237,195,343.479,0,0,0,0,0,0,
Northern Mariana Islands (Commonwealth of the),649,1127.578,218,378.755,45,3,5.212,0,0,0,
Wallis and Futuna,454,4036.991,0,0,0,7,62.244,0,0,0,
Falkland Islands (Malvinas),79,2268.16,0,0,0,0,0,0,0,0,
Saint Pierre and Miquelon,61,1052.632,27,465.919,2,0,0,0,0,0,
Montserrat,44,880.176,0,0,0,1,20.004,0,0,0,
Sint Eustatius,31,987.576,1,31.857,0,0,0,0,0,0,
Holy See,26,3213.844,0,0,0,0,0,0,0,0,
Solomon Islands,20,2.912,0,0,0,0,0,0,0,0,
Saba,12,620.797,1,51.733,0,0,0,0,0,0,
Palau,8,44.218,0,0,0,0,0,0,0,0,
American Samoa,5,9.058,0,0,0,0,0,0,0,0,
Vanuatu,5,1.628,0,0,0,0,0,0,0,0,
Marshall Islands,4,6.757,0,0,0,0,0,0,0,0,
Samoa,1,0.504,0,0,0,0,0,0,0,0,
Tonga,1,0.946,0,0,0,0,0,0,0,0,
